English words/sentences,Vietnamese words/sentences
I must hand in the report today.,Tôi phải bàn giao báo cáo hôm nay.
I wonder what I should do today.,Hôm nay mình nên làm gì đây nhỉ?
I wonder what I should do today.,Hôm nay mình nên làm gì đây ta?
Today I went to the dentist's.,Hôm nay tôi đã đi đến gặp nha sỹ.
Don't figure on going abroad this summer.,Đừng hi vọng là có thể đi nước ngoài vào mùa hè năm nay.
Don't figure on going abroad this summer.,Bạn đừng mong là có thể đi nước ngoài vào mùa hè năm nay.
There will be an economic crisis at the end of this year.,Sẽ có một đợt khủng hoảng kinh tế vào cuối năm nay.
Let's eat out tonight.,Tối nay mình đi ăn ngoài đi.
Let's eat out tonight.,Chúng ta tối nay đi ăn ngoài đi.
Let's eat out tonight.,Chúng ta tối nay đi ăn nhé.
I can't go to the restaurant with you tonight.,Tôi không thể đi nhà hàng với bạn tối nay.
I can't go to the restaurant with you tonight.,Anh không thể đi nhà hàng với em tối nay.
I can't go to the restaurant with you tonight.,Em không thể đi nhà hàng với anh tối nay.
I had a great night.,Tôi đã có một đêm tuyệt vời.
Are you free tonight?,Tối nay bạn có rảnh không?
Are you free tonight?,Bạn tối nay có rảnh không?
Where shall we eat tonight?,Tối nay chúng ta sẽ ăn ở đâu?
"He said to me, 'Let's eat out tonight.'",Anh ấy nói với tôi là tối nay chúng ta ăn ngoài đi.
I'm dining out this evening.,Tối nay tôi ăn ngoài.
I'm dining out this evening.,Tối nay tôi sẽ ăn ngoài.
I'm dining out this evening.,Tôi sẽ ăn ngoài tối nay.
I'm eating out this evening.,Tối nay tôi ăn ngoài.
I'm eating out this evening.,Tối nay tôi sẽ ăn ngoài.
I'm eating out this evening.,Tôi sẽ ăn ngoài tối nay.
Is it possible to see Venus tonight?,Tôi nay có thể thấy sao Vệ Nữ không?
Please stand by me when I need you.,Bạn hãy ở bên tôi khi tôi cần.
Don't laugh at a person in trouble.,Đừng cười khi người khác gặp nạn.
Please note that we have quoted the lowest possible price.,Xin chú ý rằng chúng tôi đã đưa ra mức giá thấp nhất rồi.
I haven't been getting enough sleep lately.,Dạo này tôi bị mất ngủ.
I haven't been getting enough sleep lately.,Dạo này tôi hay bị mất ngủ.
More and more Japanese are traveling abroad these days.,Ngày càng nhiều người nhật du lịch nước ngoài những ngày này.
Recent comics have too many violent and sexual scenes.,Manga dạo này có quá nhiều cảnh bạo lực và gợi dục.
Recent comics have too many violent and sexual scenes.,Truyện tranh dạo này có quá nhiều nóng bạo lực.
I finally came up with a great idea.,Cuối cùng tôi cũng tìm được một ý tưởng tuyệt vời.
Let me finish.,Để tui làm xong đã.
Let me finish.,Để tôi hoàn tất.
Even the richest man cannot buy everything.,Người giàu nhất cũng không thể mua được mọi thứ.
"First off, I'd like you to come with me to a department store sale.","Đang có một đợt bán hàng giảm giá ở trung tâm thương mại, trước tiên tôi muốn bạn đi với tôi tới đó."
"First off, I'd like you to come with me to a department store sale.","Trước tiên, tôi muốn bạn đi với tôi đến chỗ đang bán hàng giảm giá ở trung tâm mua sắm."
"I didn't like her at first, but now I do.","Lúc đầu tôi không thích cô ấy, nhưng bây giờ thì có."
"The bat was stolen yesterday, along with the balls.","Cây gậy bị mất ngày hôm qua, cùng với những quả bóng."
I met a student from America yesterday.,Tôi từng gặp một học sinh đến từ Mĩ ngày hôm qua.
"Yesterday, a thief entered the house.","Hôm qua, một tên trộm đã đột nhập vào nhà."
Yesterday morning I saw many birds.,Hôm qua tôi nhìn thấy rất nhiều chim.
Yesterday morning I saw many birds.,Hôm qua tôi đã trông thấy rất nhiều chim.
I didn't have time to watch TV yesterday.,Hôm qua tôi không có thời gian để xem ti vi.
Yesterday I met an old friend of mine whom I had not seen for a long time.,"Hôm qua, tôi đã gặp lại một người bạn cũ mà đã lâu tôi không gặp."
We had much rain last year.,Năm ngoái chúng tôi có nhiều mưa.
"Last year, I saw at least fifty films.","Năm ngoái, mình xem ít nhất 50 phim."
Last year saw a big political change in Japan.,"Năm ngoái, tôi đã chứng kiến một cuộc thay đổi chính trị lớn ở Nhật Bản."
She had a touch of a cold last night.,Tối qua cô ấy bị cảm nhẹ.
When did you go to bed last night?,Tối qua bạn đi ngủ khi nào?
I slept well last night.,Tối qua tôi ngủ ngon.
The motive for the murder is not yet known.,Động cơ của vụ án mạng chưa được làm rõ.
Let's all think on this together and we might be able to come up with some good ideas. They say two heads are better than one.,"Người ta có câu, một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao mà, có phải không? Nếu chúng ta cùng nhau suy nghĩ, biết đâu lại nghĩ ra được một ý tưởng hay."
Did you bring an umbrella with you?,Có mang theo dù không đó?
Visitors may not feed the animals.,Khách thăm quan không được cho động vật ăn.
Visitors may not feed the animals.,Khách thăm quan vui lòng không cho động vật ăn.
The view from the mountain top was spectacular.,Quang cảnh nhìn từ trên đỉnh núi xuống rất ngoạn mục.
The view from the mountain top was spectacular.,Quang cảnh nhìn từ trên đỉnh núi xuống vô cùng ngoạn mục.
How about going out for a walk?,Ra ngoài đi dạo không?
I'm afraid we can't go on Monday.,Tôi e rằng chúng ta không thể đi vào ngày thứ 2.
I'm afraid we can't go on Monday.,Tao e rằng tụi tao không thể đi vào ngày thứ 2.
I'm afraid we can't go on Monday.,Tôi e rằng chúng tôi không thể đi vào ngày thứ 2.
She had no idea how to set about her work.,Cô ta không biết bắt đầu công việc từ đâu.
The job is half done.,Cũng được hòm hòm rồi.
My sister works in a bank as a secretary.,Chị của tôi làm thư ký ở ngân hàng.
A tree is known by its fruit.,Trông quả biết cây.
The child found his feet at last.,Đứa trẻ cuối cùng cũng đã biết đi.
Quit acting like a child.,Thôi hành động như là một đứa trẻ đi.
"As a child, he went to Paris three times.","Hồi nhỏ, anh ta đã đi Paris ba lần."
"As a child, he went to Paris three times.","Hồi còn nhỏ, ông ấy đã tới Paris ba lần."
My mother died when I was a kid.,Mẹ tôi mất từ khi tôi còn nhỏ.
My mother died when I was a kid.,Mẹ tôi đã mất từ khi tôi còn nhỏ.
"As a boy, I used to swim in the pond.","Hồi nhỏ, tôi rất hay bơi ở cái ao đó."
"As a boy, I used to swim in the pond.","Hồi còn nhỏ, tôi hay bơi ở cái ao đó."
How many kids do you have?,Bạn có mấy người con?
I don't want to have children. Is that abnormal?,Tôi không muốn có con. Như vậy có bất thường không?
"One of the children is studying, but the others are playing.",Trong đám trẻ có một đứa đang học. Những đứa còn lại thì đang chơi đùa.
"One of the children is studying, but the others are playing.","Trong đám trẻ con, có một đứa đang học. Những đứa còn lại thì đang chơi đùa."
The mayor presented the prizes in person.,Thị trưởng tự mình trao giải thưởng.
The mayor thought that he should investigate the decline in tax revenues.,Thị trưởng nghĩ rằng ông ta nên điều tra về việc sụt giảm nguồn thu từ thuế.
She's an outspoken person.,Cô ấy là một người thẳng thắn.
I could not catch as many fish as I had expected.,Tôi không bắt được đủ số cá như mong đợi.
I am not going to join the year-end party tonight.,Tôi không có ý định tham dự tiệc tất niên tối nay.
I am not going to join the year-end party tonight.,Tôi không có ý định tham dự bữa tiệc tất niên vào tối nay.
Take back what you said about me being stingy.,Bạn bảo tôi keo kiệt đúng không? Hãy rút lại mấy lời đó đi.
It will take me no less than 10 hours to prepare for the exam.,Tôi sẽ mất không ít hơn 10 giờ để chuẩn bị cho bài kiểm tra.
This is the only book I have.,Đây là cuốn sách duy nhất mà tôi có.
"As I was speaking, Mother came up.",Tôi đang nói chuyện thì mẹ tôi đi tới.
Our club has three times as many members as yours.,Câu lạc bộ của chúng tôi có số thành viên gấp ba lần của bạn.
Our school was founded in the 20th year of Meiji.,Trường chúng tôi được thành lập vào năm thứ 20 đời Minh Trị.
"At our high school, French is an elective.","Ở trường bọn cháu, tiếng Pháp là môn học không bắt buộc."
Our city is getting bigger and bigger.,Thành phố của chúng tôi đang ngày càng lớn hơn.
Our teacher must have studied English hard when he was a high school student.,Giáo viên của chúng tôi chắc hẳn đã học tiếng Anh rất chăm chỉ khi ông còn là một học sinh cấp 3.
Our suggestions met with his opposition.,Đề xuất của chúng tôi đã vấp phải sự phản đối của anh ta.
We conducted our investigation with the greatest care.,Chúng tôi đã tiến hành cuộc điều tra của mình với sự cẩn trọng cao nhất.
We eat soup with a spoon.,Chúng tôi ăn súp bằng thìa.
We are going to invite Jane and Ellen.,Bọn mình sẽ mời Jane và Ellen.
I telephoned her at once.,Tôi đã ngay lập tức gọi cho cô ấy.
We have a lot of work to do.,Chúng tôi có nhiều công việc phải làm.
We have a lot of work to do.,Chúng ta có nhiều công việc phải làm.
We made the most of the opportunity.,Chúng tôi đã thực hiện hầu hết các cơ hội.
We debated the matter at length.,Chúng tôi đã thảo luận vụ việc rất lâu.
We have to learn the whole poem by heart.,Chúng tôi phải học thuộc lòng cả bài thơ đó.
We have to learn the whole poem by heart.,Chúng tôi phải học thuộc lòng toàn bộ bài thơ đó.
We named the boat the Half Moon.,Chúng tôi đặt tên con thuyền là Nửa Vầng Trăng.
We went down to the valley where the village is.,Chúng tôi đi xuống thung lũng nơi có ngôi làng.
We were very tired.,Chúng tôi đã rất mệt mõi.
We saw a patrol car running at full speed.,Chúng tôi trông thấy xe ô tô của đội tuần tra phóng nhanh hết tốc độ.
We saw a patrol car running at full speed.,Chúng tôi đã nhìn thấy một chiếc xe cảnh sát phóng nhanh hết tốc độ.
We chose Henry captain of our team.,Tụi tao đã chọn Henry làm đội trưởng của đội của tụi tao rồi.
We chose Henry captain of our team.,Chúng tôi đã chọn Henry làm đội trưởng của đội chúng tôi.
All of us were silent.,Tất cả chúng tôi đều đã im lặng.
We hurried for fear we should be late for school.,Chúng tôi vội vàng vì sợ trễ giờ đi học.
We climbed up the steep mountain.,Chúng tôi trèo lên ngọn nói dốc đứng.
We met last year and hope to meet again next year.,Chúng tôi gặp nhau năm ngoái và hy vọng sẽ gặp lại vào năm sau.
